"","measured","predicted","sd","abs_delta","delta_ratio","CRPS"
"25",45.6,49.0897517580674,6.33658732782369,3.48975175806741,0.0765296438172677,-2.22875366591267
"26",47.5,52.2259590204386,9.67713519729835,4.72595902043864,0.0994938741144976,-3.16437837471581
"27",53.6,45.6418033698526,8.77770871110336,7.95819663014745,0.148473817726631,-4.74767178378592
"28",46.7,45.2757576285893,10.8703449311858,1.42424237141068,0.0304976953192866,-2.61468352806708
"29",44.2,46.2267719150883,11.1127123243032,2.02677191508828,0.0458545682146669,-2.7440462962129
"30",49.8,49.0835631362236,6.87027969324098,0.71643686377638,0.0143862824051482,-1.63532803909714
"31",45.1,58.6380071931283,7.85983114006944,13.5380071931283,0.300177543084886,-9.37570415413757
"32",48.5,49.489739409825,9.28593681336422,0.989739409824956,0.0204069981407208,-2.21212187378711
"33",48.7,52.4500834606554,9.78954413734458,3.75008346065538,0.0770037671592479,-2.85395937729162
"34",52.7,50.0983729460371,9.46470044587902,2.60162705396287,0.0493667372668477,-2.49536451469583
"35",44.5,48.4918025958837,9.7099890845066,3.99180259588368,0.0897034291209817,-2.91478935384184
"36",50.3,54.6723514370657,11.3693298228784,4.37235143706568,0.0869254758859977,-3.31962721250004
"37",44.1,54.2192452925215,10.8976609352863,10.1192452925215,0.229461344501622,-6.04755968032624
"38",48.4,55.6697725133202,11.3525687030393,7.26977251332017,0.150201911432235,-4.44927935390612
"39",49.6,57.1983858506315,13.5729038530504,7.59838585063152,0.153193263117571,-4.82594360828459
"40",54.4,58.234210417781,9.79767140135237,3.83421041778104,0.0704818091503868,-2.88074579249746
"41",58.2,53.7034637397148,11.6019150975202,4.49653626028525,0.0772600732007774,-3.39797854338312
"42",45.2,67.4824372390371,16.7003245906229,22.2824372390371,0.492974275199936,-14.2735167808792
"43",4.14,14.8455713954263,7.86679053736944,10.7055713954263,2.58588681048946,-6.89570493702466
"44",4.54,5.05990687539801,4.56230432809142,0.519906875398013,0.114516932907051,-1.08979822146524
"45",4.31,8.98512085981383,4.89151710043666,4.67512085981383,1.08471481666214,-2.80147134266178
"46",46.96,36.333667148681,4.42489231255922,10.626332851319,0.22628477110986,-8.15382219916787
"47",38.48,54.8146197529243,8.69103218577432,16.3346197529243,0.424496355325476,-11.6338633392599
"48",47.74,42.217130477539,10.6366413337844,5.52286952246104,0.115686416473838,-3.60472776516592
"49",35.19,41.2780628625381,12.5466225089805,6.08806286253813,0.173005480606369,-4.0880240886061
"50",33.19,32.0587798909554,13.1329523383275,1.13122010904461,0.0340831608630495,-3.10795343315707
"51",14.29,27.1578803263169,12.9708187250111,12.8678803263169,0.900481478398666,-7.74408087635167
"52",22.2,16.7016377220194,10.3761104025958,5.4983622779806,0.247673976485613,-3.56075464842057
"53",44.4,43.7445867326552,12.0277718114207,0.655413267344755,0.0147615600753323,-2.82507438245075
"54",40.55,47.9115230241784,10.3539085703223,7.36152302417837,0.181541874825607,-4.42400048769068
"55",42.77,49.0506037833377,9.42168567950649,6.28060378333767,0.146846008495152,-3.81285309745758
"56",51.15,44.0128666015726,8.76154406630479,7.13713339842736,0.139533399773751,-4.24671037871132
"57",47.56,48.5044941450029,6.95572352488109,0.944494145002849,0.0198590022077975,-1.67660339437462
"58",45.5,43.6471135969712,5.43771777304909,1.85288640302885,0.0407227780885461,-1.52023667170349
"59",43.6,48.4015428818986,6.44134372591406,4.8015428818986,0.110127130318775,-2.87058199935796
"60",41.7,41.2506774189337,3.83808756956617,0.449322581066269,0.010775121848112,-0.917902983489056
"61",46.7,51.1631935152358,8.31382055292675,4.46319351523584,0.0955715956153284,-2.87646079819308
"62",40.9,41.950415274857,3.65823933205026,1.05041527485702,0.0256825250576289,-0.974418353640795
"63",40.5,41.949415226415,5.85331673196587,1.44941522641499,0.0357880302818517,-1.51034728055371
"64",84.2,62.5166398181453,11.8000536898848,21.6833601818547,0.257522092421077,-15.3322302313114
"65",60.4,52.0409718620775,11.54194760625,8.35902813792253,0.138394505594744,-5.01216057815801
"66",70,44.7428723846729,8.56763231037824,25.2571276153271,0.360816108790387,-20.43121883815
"67",96.7,75.200514086425,10.9396916745489,21.499485913575,0.222331808827043,-15.5312115769538
"68",93.9,81.0669355878283,7.22872237242068,12.8330644121717,0.136667352632286,-8.97427362764746
"69",91.4,89.8066795937741,6.06252575074008,1.5933204062259,0.0174323895648348,-1.58288309076553
"70",56.5,66.6335734285234,9.50489343540611,10.1335734285234,0.179355281920769,-6.16517416928896
"71",88.4,89.872230421814,7.35068162015096,1.47223042181396,0.0166541902920131,-1.83506002873759
"72",47.8,46.6060693824358,6.85591176276795,1.19393061756421,0.0249776279825149,-1.68493059671479
"73",47,47.0080176022318,2.5166610145952,0.00801760223175307,0.000170587281526661,-0.588141228560082
"74",48.2,45.7309205221801,3.40154915892877,2.46907947781988,0.0512257153074664,-1.48010659740216
"75",38.2,37.0078364709062,3.82916895057953,1.19216352909385,0.0312084693480065,-1.04174642127439
"76",30.1,34.4458806005946,3.36412960448763,4.34588060059458,0.144381415302145,-2.75955795726474
"77",31,32.6677135741186,3.5831284003024,1.66771357411856,0.0537972120683406,-1.14155163474467
"78",36,36.3219230113779,3.91435740982638,0.321923011377926,0.00894230587160906,-0.925321898246392
"79",41.1,35.3854270861881,4.92404070884156,5.71457291381186,0.139040703499072,-3.5352044984233
"80",47.9,47.3652497936305,2.60207505079907,0.534750206369516,0.011163887398111,-0.651780399295082
"81",50.2,47.997708714842,3.69058495445517,2.20229128515802,0.0438703443258569,-1.37173174619614
"82",43.9,41.022632630026,6.22946374768341,2.87736736997396,0.065543675853621,-1.97677765619144
"83",36.4,48.1956833538682,3.78187526376665,11.7956833538682,0.32405723499638,-9.66387542126677
"84",31.4,38.7240327995455,7.54756092226071,7.32403279954546,0.233249452214823,-4.39598020538098
"85",15.6,16.048302427266,5.34727262124789,0.448302427265952,0.0287373350811508,-1.26461606063419
"86",15.6,22.3051904100481,7.64628218006409,6.70519041004812,0.429819898080008,-3.99313820751849
"87",36.2,22.7892437206309,8.01037911433602,13.4107562793691,0.370462880645556,-9.20331818449705
"88",32.4,30.7286229876304,6.62427210609751,1.67137701236965,0.0515857102583224,-1.71540896508482
"89",34.7,29.2733081676731,5.45724965916301,5.42669183232686,0.156388813611725,-3.26685286677654
"90",29.1,35.4569324869162,4.71366859389309,6.3569324869162,0.218451288210179,-4.0842402672313
"91",34.1,26.9208985310953,3.34420726655229,7.17910146890471,0.210530834865241,-5.33032496788001
"92",27,31.942425897562,3.24617315163475,4.94242589756196,0.183052811020813,-3.29167381178481
"93",25.4,26.8781576367763,3.88143445792745,1.47815763677632,0.0581951825502487,-1.12897035495442
