"","measured","predicted","sd"
"93",-23.6,-27.9803704018236,2.0183527942396
"94",-29.3,-25.6484735481404,2.13831439900938
"95",-27,-25.8444994762404,1.93006782562823
"96",-25.2,-25.6914719486219,1.9246627651502
"97",-24.3,-23.5842483215115,2.040273050328
"98",-21.7,-20.4057226622143,2.12272431968101
"99",-14.3,-19.2830565724668,1.85586792541232
"100",-16.8,-17.2378215286013,1.79062143527478
"101",-19.4,-15.6831404417935,1.8419660629437
"102",-14,-17.8110383543893,2.2832776102315
"103",-31,-24.385125710885,3.07736870010522
"104",-27.9,-22.2493375378376,2.91284142504243
"105",-29.3,-24.5094961528593,4.82595595648259
"106",-29.1,-25.6930516036166,4.39353225398416
"107",-29.1,-25.2549296568137,4.83019539823767
"108",-30.3,-25.9727729519586,4.63792528967184
"109",-29,-26.3128597589043,4.79846830487998
"110",-29.3,-26.6639369188367,4.79810985039988
"111",-31.3,-28.1698641668697,3.6352964267362
"112",-35.1,-30.3897803391556,4.04062519180715
"113",-30.6,-24.2834658734091,4.96112091835122
"114",-23.3,-25.5026061450446,4.88399769005073
"115",-27,-26.3601000306672,4.45946595518665
"116",-27.3,-27.0482519640385,4.74226978401196
"117",-28.8,-27.7700315029335,4.92614268256437
"118",-35,-30.7552598525666,4.01684440366414
"119",-25.9,-22.5015252896406,3.13750122758527
"120",-23.8,-15.2552928997911,3.04236901563945
"121",-21.6,-17.7237393365183,4.25160240489916
"122",-15.5,-18.8763345442213,2.83542464811516
"123",-14.7,-16.2431462535518,2.58896020443806
"124",-10.5,-18.2049887630063,2.74337418249397
"125",-9.04,-14.4735514670328,3.40875848926855
